# index, id, name, city, country, IATA/FAA, ICAO, latitude, longitude, altitude, timezone, DST, _pos
131,206,Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,CZFM,67.40750122070312,-134.86099243164062,116,-7.0,A,"array([6.37472238, 0.74644855])"
132,209,Soummam Airport,Bejaja,Algeria,BJA,DAAE,36.7120018005,5.0699200630200005,20,1.0,N,"array([5.88979992, 1.13197623])"
133,210,Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,36.691001892089844,3.215409994125366,82,1.0,N,"array([5.92482303, 1.17761682])"
134,211,Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,24.292801,9.45244,3176,1.0,N,"array([5.74894679, 1.18075697])"
135,216,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,22.8115005493,5.45107984543,4518,1.0,N,"array([5.75550174, 1.19177485])"
136,220,Rabah Bitat Airport,Annaba,Algeria,AAE,DABB,36.822201,7.809174,16,1.0,N,"array([5.90779263, 1.16776956])"
137,221,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC,36.2760009765625,6.620389938354492,2265,1.0,N,"array([5.89850601, 1.17683903])"
138,222,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,DABS,35.4315986633,8.12071990967,2661,1.0,N,"array([5.7837274 , 1.17463527])"
139,224,Hassi R'Mel Airport,Tilrempt,Algeria,HRM,DAFH,32.93040084838867,3.311539888381958,2540,1.0,N,"array([5.80074397, 1.18725478])"
140,225,Bou Chekif Airport,Tiaret,Algeria,TID,DAOB,35.3410987854,1.46315002441,3245,1.0,N,"array([5.79975522, 1.21296119])"
141,230,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,35.0167007446,-1.45000004768,814,1.0,N,"array([5.88839093, 1.14384076])"
142,231,Es Senia Airport,Oran,Algeria,ORN,DAOO,35.6239013672,-0.6211829781529999,295,1.0,N,"array([5.91469357, 1.17264662])"
143,233,Ghriss Airport,Ghriss,Algeria,MUW,DAOV,35.207698822021484,0.14714199304580688,1686,1.0,N,"array([5.78448384, 1.19822449])"
144,234,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,27.837600708007812,-0.18641400337219238,919,1.0,N,"array([5.8119751 , 1.19555207])"
145,235,Biskra Airport,Biskra,Algeria,BSK,DAUB,34.793300628699996,5.73823022842,289,1.0,N,"array([5.87339576, 1.13000118])"
146,236,El Golea Airport,El Golea,Algeria,ELG,DAUE,30.571300506591797,2.8595900535583496,1306,1.0,N,"array([5.70254029, 1.19352789])"
147,237,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,32.38410186767578,3.794110059738159,1512,1.0,N,"array([5.8268051, 1.1851995])"
148,238,Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,31.673000335699996,6.140439987180001,463,1.0,N,"array([5.84567004, 1.1648967 ])"
149,239,In Salah Airport,In Salah,Algeria,INZ,DAUI,27.250999450699997,2.51202011108,896,1.0,N,"array([5.78466765, 1.18616804])"
150,240,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,33.06779861450195,6.088669776916504,279,1.0,N,"array([5.79182928, 1.16664108])"
151,243,Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,31.917200088500977,5.412779808044434,492,1.0,N,"array([5.79442541, 1.17918202])"
152,244,In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,28.0515,9.64291,1847,1.0,N,"array([5.73566873, 1.1757531 ])"
153,245,Cadjehoun Airport,Cotonou,Benin,COO,DBBB,6.357230186462402,2.384350061416626,19,1.0,N,"array([5.91679135, 1.21047738])"
154,246,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,DFFD,12.3532,-1.51242,1037,0.0,N,"array([5.92989655, 1.20789252])"
155,247,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.160099983215332,-4.33096981048584,1511,0.0,N,"array([5.83760337, 1.23250235])"
156,248,Kotoka International Airport,Accra,Ghana,ACC,DGAA,5.605189800262451,-0.16678600013256073,205,0.0,N,"array([5.92222637, 1.20737103])"
157,249,Tamale Airport,Tamale,Ghana,TML,DGLE,9.55718994140625,-0.8632140159606934,553,0.0,N,"array([5.84777699, 1.23358804])"
158,251,Sunyani Airport,Sunyani,Ghana,NYI,DGSN,7.361830234527588,-2.3287599086761475,1014,0.0,N,"array([5.79326913, 1.24677456])"
159,252,Takoradi Airport,Takoradi,Ghana,TKD,DGTK,4.896059989929199,-1.7747600078582764,21,0.0,N,"array([5.82854879, 1.22737821])"
160,253,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261390209197998,-3.9262900352478027,21,0.0,N,"array([5.92826666, 1.20050102])"
