# source, target, distance, airline, airline_code, codeshare, equipment, stops
48,121,964.8394719566121,AC,330,1,CRJ,0
48,122,880.7270955201636,AC,330,0,E90,0
48,125,1288.6830937924124,AC,330,0,E90 320 763 319,0
48,191,5237.703379759331,DE,1868,0,767,0
48,1818,959.7438416265969,DL,2009,1,CR7,0
48,122,880.7270955201636,KL,3090,1,73W,0
48,125,1288.6830937924124,KL,3090,1,73W,0
48,255,4585.974036959589,LH,3320,1,763,0
48,25,407.91564051133327,PB,"\N",0,SFB,0
48,60,955.1033986084661,PD,4021,0,DH4,0
48,89,804.4330722628645,PD,4021,0,DH4,0
48,122,880.7270955201636,PD,4021,0,DH4,0
48,645,605.637616457636,PJ,477,0,ATR,0
48,1915,2412.014495953877,TS,1317,1,738,0
48,1699,665.0132839208505,UA,5209,1,CRJ,0
48,1721,985.921366675945,UA,5209,1,ERJ,0
48,1885,1989.1494333203093,UA,5209,1,ERJ,0
48,1731,1303.4497490065005,US,5265,1,CRJ,0
48,1854,1111.866992095282,US,5265,1,E70 CRJ E75,0
48,853,3407.9295162577496,WS,5416,0,73W,0
48,1818,959.7438416265969,WS,5416,1,CR7,0
48,803,3223.7544759401903,WS,5416,0,73W,0
48,1915,2412.014495953877,WS,5416,0,73W,0
48,792,2961.292101526842,WS,5416,0,73W,0
48,45,1325.0182442259159,WS,5416,0,73W,0
48,60,955.1033986084661,WS,5416,0,73W,0
48,113,3746.3299421466218,WS,5416,0,73W,0
48,122,880.7270955201636,WS,5416,0,73W,0
48,125,1288.6830937924124,WS,5416,0,73W 736,0
49,27,411.56214052837197,5T,1623,0,DH8,0
49,2295,394.32191246533455,5T,1623,0,DH8,0
49,27,411.56214052837197,7F,2354,0,AT4,0
50,29,112.60728257929368,PB,"\N",0,SFB,0
51,97,258.05181503129495,9M,"\N",0,BEH,0
51,107,385.68985689117926,9M,"\N",0,BEH,0
51,97,258.05181503129495,AC,330,1,DH3,0
51,113,452.73996690942363,AC,330,1,DH3,0
51,113,452.73996690942363,WS,5416,0,DH4,0
52,1885,636.4874532324947,AA,24,1,ER4 ERD,0
52,1885,636.4874532324947,US,5265,1,ER4 ERD,0
52,113,2650.137515252638,WS,5416,0,73W,0
53,65,947.4687242212243,3H,"\N",0,DH8,0
53,95,379.3367692710443,3H,"\N",0,DH8 BET,0
53,99,209.52611273349328,3H,"\N",0,BET,0
53,130,510.9585655989163,3H,"\N",0,BET DH8,0
53,99,209.52611273349328,PB,"\N",0,SFB,0
54,113,363.20974419708057,9M,"\N",0,BEH,0
55,97,287.2714754703147,4N,341,0,737,0
55,111,1546.2102448505498,4N,341,0,737,0
55,101,261.07388221749613,8P,3856,0,BE1,0
55,107,492.4989829124255,9M,"\N",0,BEH,0
55,1715,1782.956139509021,AC,330,1,CR7,0
55,97,287.2714754703147,AC,330,1,DH3 CRJ,0
55,113,399.98389611901126,AC,330,1,DH3 CRJ,0
55,1754,352.16045008844816,AS,439,1,DH4,0
55,66,456.1361850061917,J3,3734,0,J31,0
55,1715,1782.956139509021,UA,5209,1,CR7,0
55,31,546.8371272249303,WS,5416,0,73W,0
55,97,287.2714754703147,WS,5416,0,73W DH4,0
55,113,399.98389611901126,WS,5416,0,73W,0
55,119,327.6730270903188,WS,5416,0,DH4,0
55,125,3066.5056667609406,WS,5416,0,736,0
56,1853,1927.5375851574438,AC,330,1,CR7,0
56,31,401.1486358743191,AC,330,1,DH4,0
56,97,1150.95023271776,AC,330,1,CRJ,0
56,113,642.7358996103662,AC,330,1,CRA DH4 CRJ,0
56,125,2637.9901143257025,AC,330,0,E90 320 319,0
56,31,401.1486358743191,J3,3734,0,J31,0
56,64,235.21134395804012,J3,3734,0,J31,0
56,66,526.42738793772,J3,3734,0,J31,0
56,1853,1927.5375851574438,UA,5209,1,CR7,0
56,31,401.1486358743191,WS,5416,0,73W DH4,0
56,113,642.7358996103662,WS,5416,0,73W,0
56,125,2637.9901143257025,WS,5416,0,73W,0
57,2292,126.00314787377037,YN,"\N",0,DH1,0
57,2306,129.98030601217997,YN,"\N",0,BEC,0
57,86,307.6617947560354,YN,"\N",0,BEC DH1 EMB,0
58,130,318.6459362206966,Q9,11838,0,BEH,0
58,2303,155.95099830949403,WJ,5399,0,BE1,0
58,130,318.6459362206966,WJ,5399,0,BE1,0
58,3118,37.27671805448445,WJ,5399,0,DHT,0
59,31,631.3446639378807,9M,"\N",0,BEH,0
59,3043,130.94222165310688,9M,"\N",0,BEH,0
60,126,3100.6687548367613,4N,341,0,737,0
60,34,2098.0956097495405,5T,1623,0,73M,0
60,34,2098.0956097495405,7F,2354,0,73M,0
60,1913,1209.4824718833515,AA,24,1,CRJ,0
