# index, pid, community, size, pos, leamer, name, color, _pos
69,7449,0,102.07061767578125,"array([ 992.16415405, 4054.21813965])",9,PARTS OF THE MACHINERY OF 744.2-,"#4037ab
","array([-7.51220896, -6.466204  ])"
70,8939,0,141.82373046875,"array([2579.71850586, 4379.93408203])",7,MISCELLANEOUS ART.OF MATERIALS OF DIV.58,"#730049
","array([-7.55563126, -6.6070758 ])"
71,2742,0,47.3280029296875,"array([ 964.37902832, 5933.90576172])",2,"IRON PYRITES,UNROASTED","#ffc86c
","array([-7.26403283, -6.44077078])"
72,342,0,86.388671875,"array([5318.50488281, 2871.20263672])",5,"FISH,FROZEN (EXCLUDIND FILLETS)","#8c94d1
","array([-7.59782447, -7.24000959])"
73,371,0,72.74462890625,"array([5305.70776367, 2704.01342773])",5,"FISH,PREPARED OR PRESERVED,N.E.S. INCLUDING CAVIAR","#8c94d1
","array([-7.62080363, -7.27344387])"
74,5162,0,60.97821044921875,"array([-775.49020386, 4515.75878906])",10,"ALDEHYDE-,KETONE-,& QUINONE-FUNCTION COMPOUNDS","#9c219c
","array([-7.53376862, -6.18712791])"
75,2784,0,54.255706787109375,"array([-276.86659241, 2472.93823242])",2,ASBESTOS,"#c93c00
","array([-7.03991455, -5.951247  ])"
76,5722,0,54.591064453125,"array([3462.42614746, 2715.06445312])",10,"SAFETY FUSES,DETONATING FUS.;PERCUSSION & DET.CAPS","#4037ab
","array([-7.76054684, -6.77530001])"
77,5721,0,54.51513671875,"array([3493.72558594, 3042.13720703])",10,PROPELLENT POWDERS AND OTHER PREPARED EXPLOSIVES,"#b54e61
","array([-7.70462628, -6.75706922])"
78,5530,0,106.245849609375,"array([1765.65393066, 3368.52368164])",10,"PERFUMERY,COSMETICS AND TOILET PREPARATIONS","#730049
","array([-7.70093441, -6.4887148 ])"
79,5414,0,57.96539306640625,"array([ 608.46096802, 3662.72705078])",10,"VEGETAB.ALKALOIDS,NATURAL/REPRODUCED BY SYNTHESIS","#730049
","array([-7.62174705, -6.33728899])"
80,5837,0,56.41259765625,"array([2619.5012207 , 3243.70068359])",10,POLYVINYL ACETATE,"#730049
","array([-7.69807127, -6.6022592 ])"
81,6812,0,95.83517456054688,"array([-266.48719788, 4995.07202148])",2,PLATINUM AND OTHER METALS OF THE PLATINUM GROUP,"#ffc86c
","array([-7.4615031 , -6.21363267])"
82,7931,0,58.44873046875,"array([ 522.59106445, 3368.03076172])",9,WARSHIPS OF ALL KINDS,"#38f2f1
","array([-7.7226898 , -6.41503088])"
83,8921,0,94.31201171875,"array([1679.53674316, 3037.67163086])",7,"BOOKS,PAMPHLETS,MAPS AND GLOBES,PRINTED","#730049
","array([-7.75278836, -6.47617006])"
84,5514,0,62.0648193359375,"array([-1027.84991455,  4049.45532227])",10,MIXTURES OF TWO OR MORE ODORIFEROUS SUBSTANCES,"#9c219c
","array([-7.67374415, -6.25465363])"
85,5852,0,56.1163330078125,"array([ 574.82391357, 3272.96850586])",10,"OTHER ARTIFICIAL PLASTIC MATERIALS,N.E.S.","#38f2f1
","array([-7.6893963 , -6.42418981])"
86,6672,0,132.0732421875,"array([-2334.35913086,  2654.31347656])",7,"DIAMONDS,UNWORK.CUT/OTHERWISE WORK.NOT MOUNTED/S","#7c1803
","array([-7.36819817, -5.29121179])"
87,3415,0,39.773193359375,"array([-2670.09460449,  2669.06738281])",2,"COAL GAS, WATER GAS,PRODUCER GAS & SIMILAR GASES","#ffc86c
","array([-7.40518711, -5.209365  ])"
88,7712,0,125.04180908203125,"array([-995.95663452, 2663.32983398])",9,"OTHER ELECTRIC POWER MACHINERY,PARTS OF 771-","#ff6bb0
","array([-7.1905816 , -5.62962219])"
89,8811,0,85.474853515625,"array([-1170.62524414,  2358.44116211])",9,"PHOTOGRAPHIC,CAMERAS,PARTS & ACCESSORIES","#ff6bb0
","array([-7.18615274, -5.54650411])"
90,2512,0,55.41375732421875,"array([-376.05523682, 3497.11193848])",3,MECHANICAL WOOD PULP,"#bf8845
","array([-7.28695691, -6.10661022])"
91,7754,0,59.1005859375,"array([-2603.59106445,  3296.08789062])",9,SHAVERS & HAIR CLIPPERS WITH MOTOR AND PARTS,"#ff6bb0
","array([-7.62089943, -5.30175854])"
92,7757,0,80.8525390625,"array([-2501.40063477,  3410.89672852])",9,"ELEC.-MECH.,DOMESTIC APPLIANCES AND PARTS","#ff6bb0
","array([-7.60903488, -5.34648422])"
93,14,0,56.779296875,"array([2110.95947266, 3879.69152832])",5,"POULTRY, LIVE (I.E., FOWLS, DUCKS, GEESE, ETC.)","#9fb3bf
","array([-7.63123744, -6.54371168])"
94,8999,0,61.177490234375,"array([-2574.21765137,  2295.44946289])",7,"MANUFACTURED GOODS,N.E.S.","#9c9a87
","array([-7.22246355, -5.10841949])"
95,6594,0,56.73388671875,"array([5798.09204102, 4282.2746582 ])",8,"CARPETS,CARPETING,RUGS,MATS & MATTING,OF WOOL ETC.","#ffc200
","array([-7.33916732, -7.00229811])"
